Market,Outcome,Price,End Time,URL
Will Oscar Piastri be the 2025 Drivers Champion?,No,0.9665,2025-12-07T12:00:00Z,https://polymarket.com/market/will-oscar-piastri-be-the-2025-drivers-champion
Will Oscar Piastri finish second in the 2025 Drivers Championship?,No,0.935,2025-12-07T12:00:00Z,https://polymarket.com/market/will-oscar-piastri-finish-second-in-the-2025-drivers-championship
Will Leonardo DiCaprio (One Battle After Another) be nominated for Best Actor – Drama at the 83rd Golden Globes?,No,0.906,2025-12-08T00:00:00Z,https://polymarket.com/market/will-leonardo-dicaprio-one-battle-after-another-be-nominated-for-best-actor-drama-at-the-83rd-golden-globes
Will Wagner Moura (The Secret Agent) be nominated for Best Actor – Drama at the 83rd Golden Globes?,Yes,0.9445,2025-12-08T00:00:00Z,https://polymarket.com/market/will-wagner-moura-the-secret-agent-be-nominated-for-best-actor-drama-at-the-83rd-golden-globes
Will Paul Mescal (Hamnet) be nominated for Best Actor – Drama at the 83rd Golden Globes?,No,0.9795,2025-12-08T00:00:00Z,https://polymarket.com/market/will-paul-mescal-hamnet-be-nominated-for-best-actor-drama-at-the-83rd-golden-globes
Will Ethan Hawke (Blue Moon) be nominated for Best Actor – Drama at the 83rd Golden Globes?,No,0.913,2025-12-08T00:00:00Z,https://polymarket.com/market/will-ethan-hawke-blue-moon-be-nominated-for-best-actor-drama-at-the-83rd-golden-globes
Will Colin Farrell (Ballad of a Small Player) be nominated for Best Actor – Drama at the 83rd Golden Globes?,No,0.91,2025-12-08T00:00:00Z,https://polymarket.com/market/will-colin-farrell-ballad-of-a-small-player-be-nominated-for-best-actor-drama-at-the-83rd-golden-globes
Will CD Tondela win on 2025-12-07?,No,0.935,2025-12-07T20:30:00Z,https://polymarket.com/market/por-ton-por-2025-12-07-ton
Will Cruzeiro EC win on 2025-12-07?,No,0.905,2025-12-07T19:00:00Z,https://polymarket.com/market/bra-san-cru-2025-12-07-cru
Will Celta Vigo win on 2025-12-07?,No,0.915,2025-12-07T20:00:00Z,https://polymarket.com/market/lal-rea-cel-2025-12-07-cel
